preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco
860000.0;62.0;2;2.0;0;Cruzeiro;Rua Mestre Lucas
1052953.0;62.0;2;2.0;2;Lourdes;Rua Santa Catarina
310000.0;65.0;3;1.0;1;Santa Mônica;Rua Ministro Oliveira Salazar
1260000.0;156.0;4;2.0;3;Buritis;Rua Stella Hanriot
1962000.0;142.0;4;4.0;4;Ouro Preto;Rua José Moura Peçanha
464000.0;110.0;3;1.0;2;São João Batista;Rua José Aguilar Filho
1280000.0;85.0;3;3.0;2;Gutierrez;Rua Ludgero Dolabela
1100000.0;74.0;2;1.0;2;Barro Preto;Rua Juiz de Fora
750000.0;100.0;3;2.0;2;São Pedro;Rua São João Evangelista
1150000.0;140.0;4;3.0;4;Liberdade;Rua Doutor Teles
